task,regime,subset,candidate_examples,intervention_pairs,spurious_feature_rate,tail_mechanism_rate
deformable_pull_policy,material_shift,heldout_pool,5396,620,0.20000000,0.13968000
deformable_pull_policy,operator_bias_shift,train_pool,4950,615,0.32000000,0.14760000
deformable_pull_policy,operator_bias_shift,heldout_pool,5450,615,0.32000000,0.14760000
deformable_pull_policy,rare_contact_mechanism,train_pool,5031,656,0.27000000,0.15948000
deformable_pull_policy,rare_contact_mechanism,heldout_pool,5531,656,0.27000000,0.15948000
deformable_pull_policy,intervention_gap,train_pool,5112,668,0.38000000,0.17136000
deformable_pull_policy,intervention_gap,heldout_pool,5612,668,0.38000000,0.17136000
deformable_pull_policy,counterfactual_missing,train_pool,5166,682,0.42000000,0.17928000
deformable_pull_policy,counterfactual_missing,heldout_pool,5666,682,0.42000000,0.17928000
deformable_pull_policy,compound_spurious_shift,train_pool,5256,702,0.56000000,0.19248000
deformable_pull_policy,compound_spurious_shift,heldout_pool,5756,702,0.56000000,0.19248000
mobile_place_policy,iid_mechanisms,train_pool,4440,546,0.00000000,0.08280000
mobile_place_policy,iid_mechanisms,heldout_pool,4940,546,0.00000000,0.08280000
mobile_place_policy,color_mechanism_confound,train_pool,4584,565,0.22000000,0.09899200
mobile_place_policy,color_mechanism_confound,heldout_pool,5084,565,0.22000000,0.09899200
mobile_place_policy,material_shift,train_pool,4656,584,0.20000000,0.10708800
mobile_place_policy,material_shift,heldout_pool,5156,584,0.20000000,0.10708800
mobile_place_policy,operator_bias_shift,train_pool,4710,579,0.32000000,0.11316000
mobile_place_policy,operator_bias_shift,heldout_pool,5210,579,0.32000000,0.11316000
mobile_place_policy,rare_contact_mechanism,train_pool,4791,620,0.27000000,0.12226800
mobile_place_policy,rare_contact_mechanism,heldout_pool,5291,620,0.27000000,0.12226800
mobile_place_policy,intervention_gap,train_pool,4872,632,0.38000000,0.13137600
mobile_place_policy,intervention_gap,heldout_pool,5372,632,0.38000000,0.13137600
mobile_place_policy,counterfactual_missing,train_pool,4926,646,0.42000000,0.13744800
mobile_place_policy,counterfactual_missing,heldout_pool,5426,646,0.42000000,0.13744800
mobile_place_policy,compound_spurious_shift,train_pool,5016,666,0.56000000,0.14756800
mobile_place_policy,compound_spurious_shift,heldout_pool,5516,666,0.56000000,0.14756800
force_limited_twist_policy,iid_mechanisms,train_pool,4608,571,0.00000000,0.09900000
force_limited_twist_policy,iid_mechanisms,heldout_pool,5108,571,0.00000000,0.09900000
force_limited_twist_policy,color_mechanism_confound,train_pool,4752,590,0.22000000,0.11836000
force_limited_twist_policy,color_mechanism_confound,heldout_pool,5252,590,0.22000000,0.11836000
force_limited_twist_policy,material_shift,train_pool,4824,609,0.20000000,0.12804000
force_limited_twist_policy,material_shift,heldout_pool,5324,609,0.20000000,0.12804000
force_limited_twist_policy,operator_bias_shift,train_pool,4878,604,0.32000000,0.13530000
force_limited_twist_policy,operator_bias_shift,heldout_pool,5378,604,0.32000000,0.13530000
force_limited_twist_policy,rare_contact_mechanism,train_pool,4959,645,0.27000000,0.14619000
force_limited_twist_policy,rare_contact_mechanism,heldout_pool,5459,645,0.27000000,0.14619000
force_limited_twist_policy,intervention_gap,train_pool,5040,657,0.38000000,0.15708000
force_limited_twist_policy,intervention_gap,heldout_pool,5540,657,0.38000000,0.15708000
force_limited_twist_policy,counterfactual_missing,train_pool,5094,672,0.42000000,0.16434000
force_limited_twist_policy,counterfactual_missing,heldout_pool,5594,672,0.42000000,0.16434000
force_limited_twist_policy,compound_spurious_shift,train_pool,5184,691,0.56000000,0.17644000
force_limited_twist_policy,compound_spurious_shift,heldout_pool,5684,691,0.56000000,0.17644000
