method,split,task,regime,mean_success_rate,ci95_success_rate,mean_causal_mechanism_recall,ci95_causal_mechanism_recall,mean_spurious_dependence_rate,ci95_spurious_dependence_rate,mean_tail_failure_rate,ci95_tail_failure_rate,mean_damage_rate,ci95_damage_rate,mean_selection_cost,ci95_selection_cost,mean_calibration_error,ci95_calibration_error,groups,episodes_per_group
diversity_coreset_selection,clean_budget,deformable_pull_policy,material_shift,0.532313,0.042817,0.478054,0.001306,0.320202,0.002861,0.141684,0.002745,0.091844,0.002778,0.187892,0.002085,0.111300,0.002412,7,84
diversity_coreset_selection,clean_budget,deformable_pull_policy,operator_bias_shift,0.568027,0.032489,0.483063,0.001370,0.327418,0.003570,0.145215,0.001931,0.091872,0.000841,0.189967,0.002669,0.109330,0.001931,7,84
diversity_coreset_selection,clean_budget,deformable_pull_policy,rare_contact_mechanism,0.500000,0.040092,0.481568,0.001408,0.331528,0.001075,0.148245,0.001132,0.093614,0.000907,0.193706,0.000643,0.111515,0.002575,7,84
diversity_coreset_selection,clean_budget,force_limited_twist_policy,color_mechanism_confound,0.607143,0.051926,0.475795,0.001485,0.319900,0.001133,0.138825,0.002186,0.089322,0.002585,0.189363,0.001148,0.106754,0.000754,7,84
diversity_coreset_selection,clean_budget,force_limited_twist_policy,compound_spurious_shift,0.525510,0.023014,0.470007,0.001472,0.347654,0.002817,0.153227,0.002440,0.094539,0.000676,0.191483,0.000691,0.117614,0.000716,7,84
diversity_coreset_selection,clean_budget,force_limited_twist_policy,iid_mechanisms,0.617347,0.046786,0.492440,0.001357,0.299342,0.001037,0.128841,0.001933,0.090544,0.001593,0.184623,0.001017,0.104937,0.000689,7,84
diversity_coreset_selection,clean_budget,force_limited_twist_policy,intervention_gap,0.542517,0.030490,0.468994,0.001383,0.338638,0.003876,0.148080,0.001065,0.090447,0.000951,0.192702,0.000780,0.115290,0.000637,7,84
diversity_coreset_selection,clean_budget,force_limited_twist_policy,material_shift,0.585034,0.027622,0.474638,0.001357,0.325087,0.001037,0.142178,0.001305,0.089495,0.001776,0.191410,0.000815,0.112653,0.000689,7,84
diversity_coreset_selection,clean_budget,force_limited_twist_policy,operator_bias_shift,0.561224,0.034319,0.479392,0.003783,0.332112,0.001085,0.146211,0.000980,0.094040,0.000820,0.192809,0.000629,0.109409,0.001888,7,84
diversity_coreset_selection,clean_budget,force_limited_twist_policy,rare_contact_mechanism,0.581633,0.045947,0.475000,0.001460,0.335764,0.001114,0.143967,0.002626,0.091089,0.001424,0.188497,0.000984,0.113568,0.000741,7,84
diversity_coreset_selection,clean_budget,mobile_place_policy,color_mechanism_confound,0.557823,0.021858,0.466571,0.001395,0.316706,0.003558,0.140285,0.000802,0.089885,0.000711,0.190044,0.000644,0.110600,0.001894,7,84
diversity_coreset_selection,clean_budget,mobile_place_policy,compound_spurious_shift,0.489796,0.028545,0.451079,0.001383,0.350903,0.003876,0.155563,0.000967,0.092543,0.000831,0.195180,0.000697,0.117854,0.000637,7,84
diversity_coreset_selection,clean_budget,mobile_place_policy,iid_mechanisms,0.590136,0.041633,0.473077,0.005279,0.303980,0.000970,0.129651,0.001725,0.091548,0.001619,0.184587,0.000920,0.106125,0.002632,7,84
diversity_coreset_selection,clean_budget,mobile_place_policy,intervention_gap,0.540816,0.026874,0.462178,0.001293,0.338966,0.000989,0.149544,0.000997,0.093672,0.000871,0.194111,0.000656,0.113535,0.000656,7,84
diversity_coreset_selection,clean_budget,mobile_place_policy,material_shift,0.561224,0.040231,0.464422,0.001267,0.322865,0.003944,0.142439,0.001334,0.090158,0.001109,0.191340,0.000800,0.109158,0.000578,7,84
diversity_coreset_selection,clean_budget,mobile_place_policy,operator_bias_shift,0.549320,0.050259,0.460524,0.004804,0.325116,0.001018,0.146053,0.001494,0.093377,0.002488,0.192868,0.000714,0.112946,0.000676,7,84
diversity_coreset_selection,clean_budget,mobile_place_policy,rare_contact_mechanism,0.559524,0.029250,0.462375,0.001370,0.333451,0.003883,0.146398,0.002713,0.091784,0.000790,0.190637,0.002650,0.111154,0.002414,7,84
diversity_coreset_selection,clean_budget,peg_search_policy,color_mechanism_confound,0.593537,0.035434,0.451371,0.001370,0.317335,0.003883,0.140635,0.002410,0.090114,0.000611,0.188781,0.002883,0.107748,0.002431,7,84
diversity_coreset_selection,clean_budget,peg_search_policy,compound_spurious_shift,0.556122,0.046587,0.437503,0.001357,0.351035,0.003891,0.154631,0.003240,0.092878,0.001331,0.193279,0.002592,0.114663,0.002419,7,84
diversity_coreset_selection,clean_budget,peg_search_policy,iid_mechanisms,0.644558,0.033555,0.453535,0.003849,0.303068,0.000951,0.130599,0.001026,0.088070,0.003063,0.186682,0.000599,0.103365,0.000630,7,84
diversity_coreset_selection,clean_budget,peg_search_policy,intervention_gap,0.576531,0.035590,0.443962,0.001267,0.335618,0.000970,0.149271,0.001374,0.092216,0.001147,0.193626,0.001773,0.113686,0.000643,7,84
diversity_coreset_selection,clean_budget,peg_search_policy,material_shift,0.571429,0.071647,0.449454,0.001242,0.323668,0.003960,0.142539,0.002611,0.091004,0.001538,0.188161,0.002820,0.110999,0.000565,7,84
diversity_coreset_selection,clean_budget,peg_search_policy,operator_bias_shift,0.513605,0.049216,0.448871,0.001306,0.330120,0.000999,0.146030,0.001874,0.093508,0.001521,0.191805,0.000951,0.110794,0.000663,7,84
diversity_coreset_selection,clean_budget,peg_search_policy,rare_contact_mechanism,0.588435,0.052880,0.448137,0.003810,0.331371,0.003583,0.143826,0.001590,0.093503,0.001186,0.191065,0.000725,0.112170,0.000629,7,84
diversity_coreset_selection,combined_stress,contact_grasp_policy,color_mechanism_confound,0.460884,0.015870,0.453621,0.001447,0.367807,0.001104,0.159688,0.002553,0.093825,0.000816,0.200581,0.002558,0.123465,0.000735,7,84
diversity_coreset_selection,combined_stress,contact_grasp_policy,compound_spurious_shift,0.413265,0.040000,0.440742,0.004735,0.397104,0.001095,0.175342,0.001576,0.099520,0.002329,0.207964,0.001798,0.128518,0.000728,7,84
diversity_coreset_selection,combined_stress,contact_grasp_policy,iid_mechanisms,0.581633,0.043033,0.464338,0.001319,0.354809,0.001008,0.146202,0.000831,0.092214,0.000555,0.196345,0.000393,0.118805,0.000669,7,84
diversity_coreset_selection,combined_stress,contact_grasp_policy,intervention_gap,0.469388,0.039721,0.452651,0.001344,0.385774,0.002851,0.163898,0.001516,0.098360,0.001256,0.202675,0.000858,0.126900,0.000651,7,84
diversity_coreset_selection,combined_stress,contact_grasp_policy,material_shift,0.484694,0.032886,0.453756,0.005238,0.370533,0.002858,0.161006,0.000976,0.096948,0.002805,0.203959,0.000553,0.126541,0.000638,7,84
diversity_coreset_selection,combined_stress,contact_grasp_policy,operator_bias_shift,0.482993,0.033333,0.456960,0.001383,0.378111,0.001056,0.162493,0.002645,0.097856,0.001238,0.200931,0.002257,0.123674,0.000702,7,84
diversity_coreset_selection,combined_stress,contact_grasp_policy,rare_contact_mechanism,0.505102,0.035590,0.450836,0.005157,0.383895,0.003545,0.165188,0.001094,0.097806,0.001816,0.203741,0.002293,0.124714,0.000668,7,84
diversity_coreset_selection,combined_stress,deformable_pull_policy,color_mechanism_confound,0.465986,0.033166,0.467930,0.001472,0.369425,0.003823,0.158105,0.003172,0.096012,0.000530,0.199197,0.001844,0.125282,0.000683,7,84
diversity_coreset_selection,combined_stress,deformable_pull_policy,compound_spurious_shift,0.345238,0.032998,0.448902,0.001460,0.402686,0.001114,0.177709,0.000856,0.099327,0.002110,0.208810,0.001894,0.129611,0.000741,7,84
diversity_coreset_selection,combined_stress,deformable_pull_policy,iid_mechanisms,0.532313,0.039675,0.476609,0.003810,0.349753,0.001027,0.148229,0.001405,0.095597,0.001156,0.197916,0.000775,0.120640,0.000682,7,84
diversity_coreset_selection,combined_stress,deformable_pull_policy,intervention_gap,0.423469,0.041006,0.454353,0.001370,0.391658,0.002844,0.168110,0.001497,0.095761,0.001278,0.205787,0.000906,0.130486,0.000664,7,84
diversity_coreset_selection,combined_stress,deformable_pull_policy,material_shift,0.476190,0.044389,0.461453,0.001344,0.375768,0.001027,0.162477,0.001753,0.094125,0.001443,0.202834,0.002157,0.126253,0.002391,7,84
diversity_coreset_selection,combined_stress,deformable_pull_policy,operator_bias_shift,0.420068,0.035538,0.463390,0.001408,0.378965,0.001075,0.164679,0.001589,0.097663,0.001352,0.204291,0.000921,0.127256,0.002369,7,84
diversity_coreset_selection,combined_stress,deformable_pull_policy,rare_contact_mechanism,0.457483,0.045501,0.457421,0.004727,0.379720,0.001104,0.165521,0.001137,0.098241,0.002918,0.205882,0.000595,0.124863,0.000735,7,84
diversity_coreset_selection,combined_stress,force_limited_twist_policy,color_mechanism_confound,0.515306,0.030852,0.463554,0.001524,0.367906,0.001162,0.157725,0.001486,0.095182,0.001298,0.202095,0.000927,0.123570,0.000774,7,84
diversity_coreset_selection,combined_stress,force_limited_twist_policy,compound_spurious_shift,0.423469,0.043759,0.445492,0.004684,0.403605,0.002808,0.172529,0.003185,0.099342,0.002436,0.203898,0.000850,0.130707,0.002556,7,84
diversity_coreset_selection,combined_stress,force_limited_twist_policy,iid_mechanisms,0.523810,0.037069,0.470455,0.001395,0.352046,0.001066,0.151229,0.001332,0.094227,0.001113,0.200504,0.000773,0.120387,0.002580,7,84
diversity_coreset_selection,combined_stress,force_limited_twist_policy,intervention_gap,0.423469,0.033720,0.453129,0.001421,0.389072,0.001085,0.166142,0.000673,0.097361,0.000547,0.203895,0.000499,0.130333,0.000722,7,84
diversity_coreset_selection,combined_stress,force_limited_twist_policy,material_shift,0.491497,0.046027,0.455300,0.003792,0.376346,0.002837,0.157791,0.002317,0.096331,0.002196,0.199467,0.000941,0.124829,0.000677,7,84
diversity_coreset_selection,combined_stress,force_limited_twist_policy,operator_bias_shift,0.454082,0.037218,0.456982,0.001460,0.382782,0.001114,0.162945,0.002563,0.096228,0.000954,0.200609,0.001775,0.126900,0.000741,7,84
diversity_coreset_selection,combined_stress,force_limited_twist_policy,rare_contact_mechanism,0.457483,0.035224,0.457263,0.001498,0.379648,0.001143,0.165393,0.002481,0.097142,0.001334,0.203379,0.002298,0.127570,0.000761,7,84
diversity_coreset_selection,combined_stress,mobile_place_policy,color_mechanism_confound,0.460884,0.031681,0.451746,0.001434,0.370272,0.001095,0.158247,0.001090,0.096821,0.000939,0.201190,0.000707,0.124677,0.002360,7,84
diversity_coreset_selection,combined_stress,mobile_place_policy,compound_spurious_shift,0.355442,0.020638,0.435414,0.001421,0.400409,0.001085,0.173963,0.001092,0.099691,0.000999,0.206280,0.000772,0.132590,0.000722,7,84
diversity_coreset_selection,combined_stress,mobile_place_policy,iid_mechanisms,0.508503,0.049028,0.457655,0.001306,0.353668,0.000999,0.150033,0.001414,0.094458,0.001085,0.198711,0.000671,0.119842,0.000663,7,84
diversity_coreset_selection,combined_stress,mobile_place_policy,intervention_gap,0.396259,0.049814,0.443729,0.001331,0.389813,0.003590,0.166946,0.001393,0.099619,0.001000,0.203921,0.000610,0.126900,0.000622,7,84
diversity_coreset_selection,combined_stress,mobile_place_policy,material_shift,0.498299,0.032773,0.442499,0.003825,0.371107,0.003603,0.160060,0.002035,0.096088,0.002600,0.200883,0.002547,0.126461,0.001912,7,84
diversity_coreset_selection,combined_stress,mobile_place_policy,operator_bias_shift,0.406463,0.041811,0.444677,0.001370,0.377915,0.003883,0.167119,0.001542,0.097449,0.001266,0.203961,0.002418,0.125356,0.002666,7,84
diversity_coreset_selection,combined_stress,mobile_place_policy,rare_contact_mechanism,0.428571,0.022771,0.442054,0.001408,0.379464,0.001075,0.164428,0.001384,0.096392,0.001233,0.203948,0.000891,0.129223,0.000715,7,84
diversity_coreset_selection,combined_stress,peg_search_policy,color_mechanism_confound,0.515306,0.024267,0.431833,0.001408,0.365113,0.001075,0.156367,0.000720,0.093903,0.000675,0.200641,0.000598,0.124897,0.001890,7,84
diversity_coreset_selection,combined_stress,peg_search_policy,compound_spurious_shift,0.382653,0.018659,0.417125,0.001395,0.396467,0.001066,0.173791,0.000853,0.098275,0.000812,0.206815,0.000676,0.132499,0.000708,7,84
diversity_coreset_selection,combined_stress,peg_search_policy,iid_mechanisms,0.511905,0.047219,0.437974,0.001280,0.348683,0.000979,0.149811,0.001778,0.092782,0.001443,0.198788,0.000906,0.119038,0.000649,7,84
diversity_coreset_selection,combined_stress,peg_search_policy,intervention_gap,0.433673,0.037019,0.420800,0.001306,0.385823,0.000999,0.165288,0.002013,0.095588,0.001044,0.202034,0.000751,0.125632,0.001909,7,84
diversity_coreset_selection,combined_stress,peg_search_policy,material_shift,0.484694,0.051352,0.431966,0.004838,0.374698,0.000979,0.159762,0.003460,0.098478,0.000900,0.199987,0.002819,0.126938,0.000649,7,84
diversity_coreset_selection,combined_stress,peg_search_policy,operator_bias_shift,0.431973,0.041899,0.430598,0.003810,0.375416,0.002851,0.162335,0.001309,0.099088,0.001028,0.202044,0.000696,0.125106,0.000651,7,84
diversity_coreset_selection,combined_stress,peg_search_policy,rare_contact_mechanism,0.428571,0.024944,0.425390,0.001383,0.380172,0.003564,0.166186,0.000919,0.096610,0.000874,0.205567,0.000760,0.127731,0.002396,7,84
diversity_coreset_selection,heldout_mechanism,contact_grasp_policy,color_mechanism_confound,0.571429,0.030551,0.465688,0.001472,0.350288,0.003823,0.148135,0.002417,0.092816,0.000891,0.192875,0.000840,0.119777,0.000683,7,84
diversity_coreset_selection,heldout_mechanism,contact_grasp_policy,compound_spurious_shift,0.443878,0.057767,0.447675,0.001460,0.384310,0.001114,0.168500,0.002645,0.095703,0.001835,0.201921,0.002399,0.124625,0.000741,7,84
diversity_coreset_selection,heldout_mechanism,contact_grasp_policy,iid_mechanisms,0.586735,0.023727,0.475245,0.001344,0.332990,0.003583,0.140382,0.000862,0.092927,0.000764,0.192544,0.000661,0.114468,0.000629,7,84
diversity_coreset_selection,heldout_mechanism,contact_grasp_policy,intervention_gap,0.486395,0.042731,0.451631,0.001370,0.373876,0.001047,0.160406,0.001186,0.093358,0.000929,0.200794,0.000630,0.124762,0.000695,7,84
diversity_coreset_selection,heldout_mechanism,contact_grasp_policy,material_shift,0.532313,0.056634,0.458042,0.001344,0.355755,0.001027,0.154489,0.001972,0.091418,0.001564,0.198709,0.001498,0.121293,0.001901,7,84
diversity_coreset_selection,heldout_mechanism,contact_grasp_policy,operator_bias_shift,0.530612,0.054092,0.460723,0.001408,0.359510,0.001075,0.155466,0.002301,0.094187,0.001891,0.198850,0.001184,0.121533,0.002369,7,84
diversity_coreset_selection,heldout_mechanism,contact_grasp_policy,rare_contact_mechanism,0.486395,0.038249,0.456953,0.005137,0.361913,0.002824,0.158821,0.000747,0.096561,0.002672,0.201213,0.000475,0.119123,0.000703,7,84
diversity_coreset_selection,heldout_mechanism,deformable_pull_policy,color_mechanism_confound,0.522109,0.047881,0.469554,0.003756,0.352225,0.001143,0.149781,0.001839,0.094442,0.002600,0.195825,0.000986,0.117367,0.002339,7,84
diversity_coreset_selection,heldout_mechanism,deformable_pull_policy,compound_spurious_shift,0.372449,0.035538,0.463687,0.001485,0.379920,0.001133,0.168468,0.002902,0.100092,0.001221,0.200873,0.001929,0.127043,0.000754,7,84
diversity_coreset_selection,heldout_mechanism,deformable_pull_policy,iid_mechanisms,0.539116,0.044887,0.477072,0.001370,0.338544,0.001047,0.144624,0.001456,0.090352,0.001167,0.195600,0.000762,0.117957,0.000695,7,84
diversity_coreset_selection,heldout_mechanism,deformable_pull_policy,intervention_gap,0.406463,0.029876,0.463471,0.005178,0.373217,0.001066,0.162216,0.003097,0.099503,0.002360,0.198889,0.001934,0.121724,0.000708,7,84
diversity_coreset_selection,heldout_mechanism,deformable_pull_policy,material_shift,0.481293,0.050881,0.475878,0.001370,0.352733,0.001047,0.152558,0.002325,0.096245,0.001437,0.194938,0.000969,0.117784,0.000695,7,84
diversity_coreset_selection,heldout_mechanism,deformable_pull_policy,operator_bias_shift,0.472789,0.026805,0.470431,0.001434,0.362397,0.001095,0.155776,0.001288,0.095427,0.001137,0.197944,0.000832,0.122059,0.001885,7,84
diversity_coreset_selection,heldout_mechanism,deformable_pull_policy,rare_contact_mechanism,0.452381,0.050662,0.464528,0.001472,0.366632,0.001123,0.160900,0.001204,0.094142,0.000880,0.200146,0.002537,0.120898,0.000748,7,84
diversity_coreset_selection,heldout_mechanism,force_limited_twist_policy,color_mechanism_confound,0.510204,0.028087,0.470049,0.001549,0.351125,0.001181,0.150299,0.001425,0.093939,0.001260,0.196117,0.000920,0.117024,0.000787,7,84
diversity_coreset_selection,heldout_mechanism,force_limited_twist_policy,compound_spurious_shift,0.465986,0.029439,0.453713,0.005067,0.382974,0.003785,0.167718,0.002237,0.098033,0.002545,0.201736,0.002550,0.127250,0.000716,7,84
diversity_coreset_selection,heldout_mechanism,force_limited_twist_policy,iid_mechanisms,0.568027,0.031681,0.475790,0.001421,0.334395,0.001085,0.141687,0.001156,0.091260,0.000995,0.193452,0.000735,0.117821,0.000722,7,84
diversity_coreset_selection,heldout_mechanism,force_limited_twist_policy,intervention_gap,0.498299,0.042731,0.462544,0.001447,0.372766,0.002824,0.157809,0.001888,0.095941,0.001620,0.198576,0.001113,0.125254,0.000703,7,84
diversity_coreset_selection,heldout_mechanism,force_limited_twist_policy,material_shift,0.571429,0.028350,0.465448,0.005157,0.355445,0.003853,0.152804,0.002223,0.094073,0.002652,0.196752,0.002565,0.117757,0.000657,7,84
diversity_coreset_selection,heldout_mechanism,force_limited_twist_policy,operator_bias_shift,0.523810,0.044096,0.464320,0.005107,0.359773,0.001133,0.153291,0.000725,0.095846,0.002288,0.196591,0.000401,0.120676,0.002544,7,84
diversity_coreset_selection,heldout_mechanism,force_limited_twist_policy,rare_contact_mechanism,0.477891,0.034319,0.460093,0.001524,0.361835,0.002805,0.156447,0.001511,0.093429,0.001292,0.198743,0.000929,0.119176,0.000742,7,84
diversity_coreset_selection,heldout_mechanism,mobile_place_policy,color_mechanism_confound,0.528912,0.025892,0.459237,0.003769,0.347770,0.003526,0.149956,0.001161,0.095563,0.001053,0.196247,0.000847,0.117537,0.002602,7,84
diversity_coreset_selection,heldout_mechanism,mobile_place_policy,compound_spurious_shift,0.442177,0.042731,0.444632,0.001447,0.384347,0.002824,0.165249,0.001129,0.097980,0.000836,0.200871,0.000591,0.126417,0.001934,7,84
diversity_coreset_selection,heldout_mechanism,mobile_place_policy,iid_mechanisms,0.547619,0.035642,0.466273,0.001331,0.335441,0.003590,0.142307,0.001189,0.093382,0.001048,0.193478,0.000812,0.114477,0.000622,7,84
diversity_coreset_selection,heldout_mechanism,mobile_place_policy,intervention_gap,0.500000,0.041366,0.444993,0.004786,0.369501,0.001037,0.159186,0.001388,0.095785,0.002880,0.200081,0.000754,0.123542,0.000689,7,84
diversity_coreset_selection,heldout_mechanism,mobile_place_policy,material_shift,0.522109,0.029876,0.449071,0.001331,0.353061,0.001018,0.155212,0.001503,0.093331,0.002241,0.197067,0.002542,0.121220,0.001904,7,84
diversity_coreset_selection,heldout_mechanism,mobile_place_policy,operator_bias_shift,0.455782,0.038682,0.446152,0.001395,0.361191,0.003558,0.155612,0.001389,0.094710,0.002045,0.197341,0.000887,0.121017,0.000655,7,84
diversity_coreset_selection,heldout_mechanism,mobile_place_policy,rare_contact_mechanism,0.448980,0.021430,0.448169,0.001434,0.362790,0.001095,0.156112,0.001207,0.094457,0.001093,0.197650,0.000822,0.122631,0.000728,7,84
diversity_coreset_selection,heldout_mechanism,peg_search_policy,color_mechanism_confound,0.552721,0.022111,0.438306,0.001434,0.348903,0.001095,0.147779,0.000793,0.091836,0.000752,0.194414,0.000648,0.119707,0.000728,7,84
diversity_coreset_selection,heldout_mechanism,peg_search_policy,compound_spurious_shift,0.452381,0.055777,0.423038,0.001421,0.379838,0.001085,0.163926,0.002020,0.095190,0.001621,0.199985,0.001003,0.125878,0.000722,7,84
diversity_coreset_selection,heldout_mechanism,peg_search_policy,iid_mechanisms,0.527211,0.036260,0.443287,0.001306,0.331603,0.000999,0.141250,0.000920,0.090549,0.000728,0.192203,0.000537,0.112110,0.000663,7,84
diversity_coreset_selection,heldout_mechanism,peg_search_policy,intervention_gap,0.457483,0.034854,0.430193,0.001331,0.371803,0.001018,0.159854,0.002262,0.095519,0.001296,0.197403,0.000941,0.119649,0.000676,7,84
diversity_coreset_selection,heldout_mechanism,peg_search_policy,material_shift,0.503401,0.042208,0.439805,0.003825,0.357798,0.000999,0.154661,0.001609,0.096511,0.001322,0.199205,0.000858,0.120133,0.000663,7,84
diversity_coreset_selection,heldout_mechanism,peg_search_policy,operator_bias_shift,0.520408,0.057317,0.431053,0.001370,0.363269,0.001047,0.156332,0.001982,0.092146,0.001570,0.199160,0.000953,0.122689,0.000695,7,84
diversity_coreset_selection,heldout_mechanism,peg_search_policy,rare_contact_mechanism,0.491497,0.040000,0.428198,0.001408,0.362929,0.003860,0.154933,0.001538,0.094291,0.002354,0.197253,0.000924,0.121835,0.000650,7,84
diversity_coreset_selection,heldout_object,contact_grasp_policy,color_mechanism_confound,0.549320,0.033555,0.468026,0.005147,0.339920,0.003845,0.149041,0.001238,0.094666,0.001939,0.195333,0.001876,0.113209,0.000663,7,84
diversity_coreset_selection,heldout_object,contact_grasp_policy,compound_spurious_shift,0.455782,0.031269,0.457714,0.001421,0.376288,0.001085,0.164385,0.001213,0.098218,0.001047,0.201028,0.000765,0.121945,0.002570,7,84
diversity_coreset_selection,heldout_object,contact_grasp_policy,iid_mechanisms,0.595238,0.033775,0.478179,0.001306,0.328215,0.000999,0.139889,0.001429,0.092288,0.001210,0.192707,0.000825,0.112861,0.000663,7,84
diversity_coreset_selection,heldout_object,contact_grasp_policy,intervention_gap,0.510204,0.046786,0.462166,0.003815,0.359365,0.003590,0.155761,0.001319,0.096767,0.001032,0.197744,0.000715,0.119940,0.000622,7,84
diversity_coreset_selection,heldout_object,contact_grasp_policy,material_shift,0.518707,0.031740,0.460617,0.001306,0.342134,0.000999,0.149330,0.002514,0.091596,0.001788,0.193196,0.001821,0.117078,0.002617,7,84
diversity_coreset_selection,heldout_object,contact_grasp_policy,operator_bias_shift,0.472789,0.037317,0.466370,0.001370,0.348193,0.001047,0.153319,0.002912,0.095902,0.000874,0.194172,0.001649,0.115461,0.000695,7,84
diversity_coreset_selection,heldout_object,contact_grasp_policy,rare_contact_mechanism,0.530612,0.049065,0.464787,0.001408,0.355667,0.001075,0.155036,0.001447,0.095122,0.001129,0.198895,0.000722,0.117656,0.002369,7,84
diversity_coreset_selection,heldout_object,deformable_pull_policy,color_mechanism_confound,0.527211,0.021430,0.471817,0.001460,0.339820,0.001114,0.149662,0.000543,0.092108,0.002589,0.195600,0.001921,0.114062,0.000741,7,84
diversity_coreset_selection,heldout_object,deformable_pull_policy,compound_spurious_shift,0.404762,0.028350,0.466790,0.003774,0.371575,0.003532,0.164786,0.000994,0.099849,0.000833,0.200796,0.000685,0.121936,0.002607,7,84
diversity_coreset_selection,heldout_object,deformable_pull_policy,iid_mechanisms,0.549320,0.042426,0.482218,0.005228,0.323155,0.002854,0.141026,0.001538,0.093618,0.001836,0.193336,0.000790,0.113759,0.000644,7,84
diversity_coreset_selection,heldout_object,deformable_pull_policy,intervention_gap,0.430272,0.042731,0.464784,0.001357,0.363530,0.001037,0.160093,0.001197,0.094008,0.000939,0.200290,0.000632,0.122561,0.000689,7,84
diversity_coreset_selection,heldout_object,deformable_pull_policy,material_shift,0.474490,0.051783,0.473803,0.001331,0.347366,0.001018,0.151084,0.003212,0.093289,0.001417,0.192665,0.000915,0.115854,0.002395,7,84
diversity_coreset_selection,heldout_object,deformable_pull_policy,operator_bias_shift,0.462585,0.038921,0.471428,0.001395,0.349043,0.002837,0.154278,0.001064,0.093794,0.000811,0.197241,0.000592,0.120394,0.000677,7,84
diversity_coreset_selection,heldout_object,deformable_pull_policy,rare_contact_mechanism,0.479592,0.033278,0.474573,0.001434,0.358349,0.001095,0.155129,0.000966,0.096206,0.000818,0.197875,0.000637,0.119264,0.002565,7,84
diversity_coreset_selection,heldout_object,force_limited_twist_policy,color_mechanism_confound,0.549320,0.052033,0.472885,0.005087,0.342703,0.001152,0.146293,0.002423,0.094566,0.001759,0.191305,0.001002,0.116402,0.002334,7,84
diversity_coreset_selection,heldout_object,force_limited_twist_policy,compound_spurious_shift,0.493197,0.033720,0.457390,0.001498,0.371752,0.003507,0.163164,0.000676,0.094613,0.000479,0.200894,0.000515,0.121285,0.000707,7,84
diversity_coreset_selection,heldout_object,force_limited_twist_policy,iid_mechanisms,0.561224,0.017213,0.479223,0.001383,0.322990,0.002840,0.141450,0.000901,0.090939,0.000866,0.193971,0.000739,0.112875,0.002600,7,84
diversity_coreset_selection,heldout_object,force_limited_twist_policy,intervention_gap,0.501701,0.038921,0.459857,0.001408,0.358486,0.002834,0.154019,0.001035,0.093186,0.001861,0.195934,0.000664,0.120633,0.000683,7,84
