method,split,regime,task,seed,episodes,success_rate,causal_mechanism_recall,spurious_dependence_rate,tail_failure_rate,damage_rate,selection_cost,calibration_error
random_selection,clean_budget,iid_mechanisms,force_limited_twist_policy,6,84,0.440476,0.335776,0.279780,0.166167,0.106309,0.127683,0.107104
random_selection,clean_budget,color_mechanism_confound,contact_grasp_policy,0,84,0.440476,0.330531,0.289955,0.172595,0.102215,0.129746,0.111567
random_selection,clean_budget,color_mechanism_confound,contact_grasp_policy,1,84,0.488095,0.331323,0.290561,0.171594,0.101619,0.129657,0.111969
random_selection,clean_budget,color_mechanism_confound,contact_grasp_policy,2,84,0.404762,0.332115,0.291167,0.174521,0.103879,0.130879,0.112371
random_selection,clean_budget,color_mechanism_confound,contact_grasp_policy,3,84,0.488095,0.332907,0.291773,0.172448,0.102505,0.130433,0.112772
random_selection,clean_budget,color_mechanism_confound,contact_grasp_policy,4,84,0.476190,0.333699,0.292379,0.173233,0.103207,0.130940,0.113174
random_selection,clean_budget,color_mechanism_confound,contact_grasp_policy,5,84,0.464286,0.334491,0.292985,0.174017,0.103910,0.131448,0.113576
random_selection,clean_budget,color_mechanism_confound,contact_grasp_policy,6,84,0.511905,0.335283,0.293591,0.173016,0.103315,0.123355,0.113977
random_selection,clean_budget,color_mechanism_confound,peg_search_policy,0,84,0.392857,0.298915,0.292883,0.173650,0.108029,0.129658,0.109678
random_selection,clean_budget,color_mechanism_confound,peg_search_policy,1,84,0.440476,0.299683,0.293471,0.172635,0.107420,0.129558,0.110068
random_selection,clean_budget,color_mechanism_confound,peg_search_policy,2,84,0.464286,0.300451,0.294059,0.172335,0.107330,0.129696,0.110457
random_selection,clean_budget,color_mechanism_confound,peg_search_policy,3,84,0.392857,0.301219,0.294647,0.174892,0.101313,0.130786,0.110846
random_selection,clean_budget,color_mechanism_confound,peg_search_policy,4,84,0.404762,0.301987,0.295235,0.174949,0.101483,0.131043,0.111236
random_selection,clean_budget,color_mechanism_confound,peg_search_policy,5,84,0.440476,0.302755,0.295823,0.174292,0.101134,0.131062,0.111625
random_selection,clean_budget,color_mechanism_confound,peg_search_policy,6,84,0.428571,0.303523,0.296411,0.175064,0.101823,0.131557,0.112015
random_selection,clean_budget,color_mechanism_confound,deformable_pull_policy,0,84,0.380952,0.339083,0.291233,0.172164,0.102700,0.128041,0.110076
random_selection,clean_budget,color_mechanism_confound,deformable_pull_policy,1,84,0.321429,0.339891,0.291851,0.174385,0.104449,0.129032,0.110486
random_selection,clean_budget,color_mechanism_confound,deformable_pull_policy,2,84,0.440476,0.340699,0.292469,0.171250,0.102306,0.128238,0.110896
random_selection,clean_budget,color_mechanism_confound,deformable_pull_policy,3,84,0.392857,0.341507,0.293087,0.173115,0.103796,0.129110,0.111305
random_selection,clean_budget,color_mechanism_confound,deformable_pull_policy,4,84,0.476190,0.342315,0.293705,0.171051,0.102431,0.128672,0.111715
random_selection,clean_budget,color_mechanism_confound,deformable_pull_policy,5,84,0.380952,0.343123,0.294323,0.174344,0.104959,0.130021,0.112125
random_selection,clean_budget,color_mechanism_confound,deformable_pull_policy,6,84,0.309524,0.343931,0.294941,0.176923,0.106968,0.131131,0.112535
random_selection,clean_budget,color_mechanism_confound,mobile_place_policy,0,84,0.476190,0.328219,0.292541,0.167651,0.104138,0.125348,0.115013
random_selection,clean_budget,color_mechanism_confound,mobile_place_policy,1,84,0.380952,0.329003,0.293141,0.170932,0.106653,0.126685,0.115410
random_selection,clean_budget,color_mechanism_confound,mobile_place_policy,2,84,0.440476,0.329787,0.293741,0.169569,0.105794,0.126474,0.115808
random_selection,clean_budget,color_mechanism_confound,mobile_place_policy,3,84,0.535714,0.330571,0.294341,0.167135,0.104156,0.125905,0.116205
random_selection,clean_budget,color_mechanism_confound,mobile_place_policy,4,84,0.380952,0.331355,0.294941,0.172201,0.107968,0.127837,0.108599
random_selection,clean_budget,color_mechanism_confound,mobile_place_policy,5,84,0.357143,0.316131,0.295541,0.173338,0.108925,0.128459,0.108997
random_selection,clean_budget,color_mechanism_confound,mobile_place_policy,6,84,0.428571,0.316915,0.296141,0.171618,0.107807,0.128129,0.109394
random_selection,clean_budget,color_mechanism_confound,force_limited_twist_policy,0,84,0.369048,0.331963,0.295055,0.176105,0.102248,0.131496,0.115277
random_selection,clean_budget,color_mechanism_confound,force_limited_twist_policy,1,84,0.511905,0.332803,0.295697,0.172273,0.099604,0.130479,0.115703
random_selection,clean_budget,color_mechanism_confound,force_limited_twist_policy,2,84,0.535714,0.333643,0.296339,0.172013,0.099554,0.130653,0.116129
random_selection,clean_budget,color_mechanism_confound,force_limited_twist_policy,3,84,0.369048,0.334483,0.296981,0.177466,0.103657,0.124728,0.116556
random_selection,clean_budget,color_mechanism_confound,force_limited_twist_policy,4,84,0.392857,0.335323,0.297623,0.177206,0.103608,0.124902,0.108978
random_selection,clean_budget,color_mechanism_confound,force_limited_twist_policy,5,84,0.452381,0.336163,0.298265,0.167870,0.102300,0.124719,0.109404
random_selection,clean_budget,color_mechanism_confound,force_limited_twist_policy,6,84,0.416667,0.337003,0.298907,0.169395,0.103548,0.125488,0.109831
random_selection,clean_budget,material_shift,contact_grasp_policy,0,84,0.404762,0.330486,0.294876,0.176894,0.104407,0.132484,0.110014
random_selection,clean_budget,material_shift,contact_grasp_policy,1,84,0.428571,0.331198,0.295422,0.176563,0.104286,0.132594,0.110375
random_selection,clean_budget,material_shift,contact_grasp_policy,2,84,0.392857,0.331910,0.295968,0.178018,0.105463,0.125295,0.110735
random_selection,clean_budget,material_shift,contact_grasp_policy,3,84,0.452381,0.332622,0.296514,0.176616,0.104563,0.125048,0.111096
random_selection,clean_budget,material_shift,contact_grasp_policy,4,84,0.309524,0.333334,0.297060,0.181285,0.108076,0.126825,0.111457
random_selection,clean_budget,material_shift,contact_grasp_policy,5,84,0.369048,0.334046,0.297606,0.171879,0.106696,0.126578,0.111818
random_selection,clean_budget,material_shift,contact_grasp_policy,6,84,0.404762,0.334758,0.298152,0.171191,0.106316,0.126568,0.112178
random_selection,clean_budget,material_shift,peg_search_policy,0,84,0.440476,0.310302,0.294372,0.172938,0.105846,0.129275,0.113786
random_selection,clean_budget,material_shift,peg_search_policy,1,84,0.309524,0.310990,0.294900,0.177237,0.109085,0.130921,0.114134
random_selection,clean_budget,material_shift,peg_search_policy,2,84,0.345238,0.311678,0.295428,0.176536,0.108691,0.130900,0.114483
random_selection,clean_budget,material_shift,peg_search_policy,3,84,0.404762,0.296358,0.295956,0.175120,0.107778,0.130640,0.114831
random_selection,clean_budget,material_shift,peg_search_policy,4,84,0.428571,0.297046,0.296484,0.174776,0.107644,0.130738,0.115180
random_selection,clean_budget,material_shift,peg_search_policy,5,84,0.440476,0.297734,0.297012,0.174789,0.107769,0.130955,0.115528
random_selection,clean_budget,material_shift,peg_search_policy,6,84,0.380952,0.298422,0.297540,0.176946,0.101448,0.131886,0.115877
random_selection,clean_budget,material_shift,deformable_pull_policy,0,84,0.500000,0.339286,0.296340,0.171956,0.101657,0.129356,0.116653
random_selection,clean_budget,material_shift,deformable_pull_policy,1,84,0.416667,0.340014,0.296898,0.174848,0.103881,0.130545,0.117022
random_selection,clean_budget,material_shift,deformable_pull_policy,2,84,0.321429,0.340742,0.297456,0.178098,0.106364,0.131854,0.117391
random_selection,clean_budget,material_shift,deformable_pull_policy,3,84,0.440476,0.341470,0.298014,0.174919,0.104176,0.131019,0.109756
random_selection,clean_budget,material_shift,deformable_pull_policy,4,84,0.464286,0.342197,0.298572,0.174597,0.104064,0.131137,0.110125
random_selection,clean_budget,material_shift,deformable_pull_policy,5,84,0.285714,0.342925,0.299130,0.180346,0.108364,0.133279,0.110494
random_selection,clean_budget,material_shift,deformable_pull_policy,6,84,0.428571,0.343654,0.299688,0.176453,0.105657,0.132206,0.110863
random_selection,clean_budget,material_shift,mobile_place_policy,0,84,0.309524,0.323366,0.293856,0.173241,0.106497,0.126993,0.110998
random_selection,clean_budget,material_shift,mobile_place_policy,1,84,0.452381,0.324070,0.294396,0.169334,0.103776,0.125908,0.111354
random_selection,clean_budget,material_shift,mobile_place_policy,2,84,0.297619,0.324774,0.294936,0.174356,0.107544,0.127800,0.111711
random_selection,clean_budget,material_shift,mobile_place_policy,3,84,0.476190,0.325478,0.295476,0.169378,0.104045,0.126358,0.112068
random_selection,clean_budget,material_shift,mobile_place_policy,4,84,0.416667,0.326182,0.296016,0.171543,0.105736,0.127297,0.112424
random_selection,clean_budget,material_shift,mobile_place_policy,5,84,0.464286,0.326886,0.296556,0.170494,0.105091,0.127165,0.112781
random_selection,clean_budget,material_shift,mobile_place_policy,6,84,0.500000,0.327590,0.297096,0.169801,0.104706,0.127152,0.113138
random_selection,clean_budget,material_shift,force_limited_twist_policy,0,84,0.392857,0.328102,0.297114,0.176525,0.109013,0.131731,0.111770
random_selection,clean_budget,material_shift,force_limited_twist_policy,1,84,0.392857,0.328862,0.297696,0.176935,0.101434,0.132103,0.112155
random_selection,clean_budget,material_shift,force_limited_twist_policy,2,84,0.392857,0.329622,0.298278,0.177344,0.101859,0.132475,0.112540
random_selection,clean_budget,material_shift,force_limited_twist_policy,3,84,0.357143,0.330382,0.298860,0.178826,0.103063,0.133205,0.112926
random_selection,clean_budget,material_shift,force_limited_twist_policy,4,84,0.380952,0.331142,0.299442,0.178521,0.102969,0.125334,0.113311
random_selection,clean_budget,material_shift,force_limited_twist_policy,5,84,0.476190,0.331902,0.300024,0.176074,0.101317,0.124754,0.113696
random_selection,clean_budget,material_shift,force_limited_twist_policy,6,84,0.404762,0.332662,0.300606,0.178627,0.103300,0.125840,0.114082
random_selection,clean_budget,operator_bias_shift,contact_grasp_policy,0,84,0.500000,0.328087,0.305884,0.172894,0.102652,0.127973,0.116978
random_selection,clean_budget,operator_bias_shift,contact_grasp_policy,1,84,0.428571,0.328839,0.306460,0.175443,0.104629,0.129055,0.117359
random_selection,clean_budget,operator_bias_shift,contact_grasp_policy,2,84,0.440476,0.329591,0.307036,0.175491,0.104790,0.129304,0.117741
random_selection,clean_budget,operator_bias_shift,contact_grasp_policy,3,84,0.440476,0.330343,0.307612,0.175896,0.105211,0.129672,0.118122
random_selection,clean_budget,operator_bias_shift,contact_grasp_policy,4,84,0.321429,0.331095,0.308188,0.179873,0.108226,0.131231,0.118503
random_selection,clean_budget,operator_bias_shift,contact_grasp_policy,5,84,0.511905,0.331847,0.308764,0.174564,0.104495,0.129694,0.110880
random_selection,clean_budget,operator_bias_shift,contact_grasp_policy,6,84,0.428571,0.332599,0.309340,0.177470,0.106732,0.130895,0.111261
random_selection,clean_budget,operator_bias_shift,peg_search_policy,0,84,0.297619,0.294183,0.307096,0.177337,0.110560,0.128289,0.113918
random_selection,clean_budget,operator_bias_shift,peg_search_policy,1,84,0.404762,0.294911,0.307654,0.174515,0.108632,0.127573,0.114286
random_selection,clean_budget,operator_bias_shift,peg_search_policy,2,84,0.535714,0.295639,0.308212,0.170978,0.106184,0.126620,0.114655
random_selection,clean_budget,operator_bias_shift,peg_search_policy,3,84,0.345238,0.296367,0.308770,0.177085,0.102739,0.128880,0.115024
random_selection,clean_budget,operator_bias_shift,peg_search_policy,4,84,0.416667,0.297095,0.309328,0.175334,0.101589,0.128522,0.115393
random_selection,clean_budget,operator_bias_shift,peg_search_policy,5,84,0.392857,0.297823,0.309886,0.176441,0.102515,0.129116,0.115762
random_selection,clean_budget,operator_bias_shift,peg_search_policy,6,84,0.404762,0.298551,0.298438,0.175696,0.102196,0.129353,0.115939
random_selection,clean_budget,operator_bias_shift,deformable_pull_policy,0,84,0.321429,0.344767,0.301252,0.179714,0.109810,0.131523,0.111452
random_selection,clean_budget,operator_bias_shift,deformable_pull_policy,1,84,0.404762,0.329527,0.301840,0.177629,0.108423,0.131065,0.111841
random_selection,clean_budget,operator_bias_shift,deformable_pull_policy,2,84,0.321429,0.330295,0.302428,0.180543,0.110669,0.132275,0.112231
random_selection,clean_budget,operator_bias_shift,deformable_pull_policy,3,84,0.416667,0.331063,0.303016,0.178100,0.101018,0.131698,0.112620
random_selection,clean_budget,operator_bias_shift,deformable_pull_policy,4,84,0.416667,0.331831,0.303604,0.178514,0.101448,0.132074,0.113010
random_selection,clean_budget,operator_bias_shift,deformable_pull_policy,5,84,0.428571,0.332599,0.304192,0.178571,0.101618,0.132331,0.113399
random_selection,clean_budget,operator_bias_shift,deformable_pull_policy,6,84,0.392857,0.333367,0.304780,0.180057,0.102826,0.133064,0.113788
random_selection,clean_budget,operator_bias_shift,mobile_place_policy,0,84,0.416667,0.315367,0.300664,0.173815,0.101831,0.127566,0.115095
random_selection,clean_budget,operator_bias_shift,mobile_place_policy,1,84,0.476190,0.316111,0.301234,0.172430,0.100949,0.127335,0.115472
random_selection,clean_budget,operator_bias_shift,mobile_place_policy,2,84,0.404762,0.316855,0.301804,0.174974,0.102922,0.128413,0.115849
random_selection,clean_budget,operator_bias_shift,mobile_place_policy,3,84,0.416667,0.317599,0.302374,0.175018,0.103079,0.128658,0.116226
random_selection,clean_budget,operator_bias_shift,mobile_place_policy,4,84,0.345238,0.318343,0.302944,0.177562,0.105052,0.129736,0.116603
random_selection,clean_budget,operator_bias_shift,mobile_place_policy,5,84,0.321429,0.319087,0.303514,0.178678,0.105987,0.130339,0.116980
random_selection,clean_budget,operator_bias_shift,mobile_place_policy,6,84,0.380952,0.319831,0.304084,0.177293,0.105105,0.130107,0.117357
random_selection,clean_budget,operator_bias_shift,force_limited_twist_policy,0,84,0.488095,0.335615,0.303550,0.177184,0.104329,0.132176,0.115613
random_selection,clean_budget,operator_bias_shift,force_limited_twist_policy,1,84,0.416667,0.336415,0.304162,0.179759,0.106334,0.133282,0.116019
random_selection,clean_budget,operator_bias_shift,force_limited_twist_policy,2,84,0.369048,0.337215,0.304774,0.181619,0.107819,0.134150,0.116424
random_selection,clean_budget,operator_bias_shift,force_limited_twist_policy,3,84,0.333333,0.338015,0.305386,0.183122,0.109045,0.126895,0.116830
random_selection,clean_budget,operator_bias_shift,force_limited_twist_policy,4,84,0.428571,0.338815,0.305998,0.180697,0.107416,0.126335,0.117236
random_selection,clean_budget,operator_bias_shift,force_limited_twist_policy,5,84,0.452381,0.339615,0.306610,0.172410,0.106864,0.126489,0.117642
random_selection,clean_budget,operator_bias_shift,force_limited_twist_policy,6,84,0.500000,0.324407,0.307222,0.171413,0.106274,0.126405,0.118048
random_selection,clean_budget,rare_contact_mechanism,contact_grasp_policy,0,84,0.404762,0.328288,0.301747,0.174767,0.105428,0.128258,0.117592
random_selection,clean_budget,rare_contact_mechanism,contact_grasp_policy,1,84,0.595238,0.329064,0.302341,0.169471,0.101709,0.126733,0.117985
random_selection,clean_budget,rare_contact_mechanism,contact_grasp_policy,2,84,0.488095,0.329840,0.302935,0.173104,0.104479,0.128185,0.118379
random_selection,clean_budget,rare_contact_mechanism,contact_grasp_policy,3,84,0.404762,0.330616,0.303529,0.176023,0.106730,0.129398,0.118772
random_selection,clean_budget,rare_contact_mechanism,contact_grasp_policy,4,84,0.369048,0.331392,0.304123,0.177513,0.107942,0.130135,0.119166
random_selection,clean_budget,rare_contact_mechanism,contact_grasp_policy,5,84,0.428571,0.332168,0.304717,0.176145,0.107078,0.129920,0.119559
random_selection,clean_budget,rare_contact_mechanism,contact_grasp_policy,6,84,0.404762,0.332944,0.305311,0.177278,0.108031,0.130538,0.111949
random_selection,clean_budget,rare_contact_mechanism,peg_search_policy,0,84,0.440476,0.302159,0.308791,0.176333,0.104490,0.130081,0.118513
random_selection,clean_budget,rare_contact_mechanism,peg_search_policy,1,84,0.404762,0.302911,0.309367,0.177810,0.105689,0.130806,0.118894
random_selection,clean_budget,rare_contact_mechanism,peg_search_policy,2,84,0.369048,0.303663,0.309943,0.179287,0.106888,0.131531,0.119275
random_selection,clean_budget,rare_contact_mechanism,peg_search_policy,3,84,0.452381,0.304415,0.310519,0.177192,0.105492,0.131066,0.119656
random_selection,clean_budget,rare_contact_mechanism,peg_search_policy,4,84,0.511905,0.305167,0.311095,0.175812,0.104615,0.130839,0.112034
random_selection,clean_budget,rare_contact_mechanism,peg_search_policy,5,84,0.285714,0.305919,0.311671,0.183003,0.109966,0.133468,0.112415
random_selection,clean_budget,rare_contact_mechanism,peg_search_policy,6,84,0.464286,0.306671,0.312247,0.178051,0.106494,0.132051,0.112796
random_selection,clean_budget,rare_contact_mechanism,deformable_pull_policy,0,84,0.357143,0.333687,0.312667,0.181033,0.104838,0.132862,0.114679
random_selection,clean_budget,rare_contact_mechanism,deformable_pull_policy,1,84,0.476190,0.334479,0.301267,0.177109,0.102219,0.132060,0.114888
random_selection,clean_budget,rare_contact_mechanism,deformable_pull_policy,2,84,0.357143,0.335271,0.301873,0.181107,0.105257,0.133638,0.115290
random_selection,clean_budget,rare_contact_mechanism,deformable_pull_policy,3,84,0.464286,0.336063,0.302479,0.178321,0.103364,0.132955,0.115692
random_selection,clean_budget,rare_contact_mechanism,deformable_pull_policy,4,84,0.476190,0.336855,0.303085,0.178391,0.103548,0.133224,0.116093
random_selection,clean_budget,rare_contact_mechanism,deformable_pull_policy,5,84,0.380952,0.337647,0.303691,0.181675,0.106067,0.134564,0.116495
random_selection,clean_budget,rare_contact_mechanism,deformable_pull_policy,6,84,0.345238,0.338439,0.304297,0.183174,0.107288,0.127305,0.116897
random_selection,clean_budget,rare_contact_mechanism,mobile_place_policy,0,84,0.392857,0.312207,0.306013,0.180485,0.102118,0.133461,0.114180
random_selection,clean_budget,rare_contact_mechanism,mobile_place_policy,1,84,0.369048,0.312975,0.306601,0.181614,0.103067,0.134075,0.114570
random_selection,clean_budget,rare_contact_mechanism,mobile_place_policy,2,84,0.428571,0.313743,0.307189,0.180242,0.102199,0.133856,0.114959
random_selection,clean_budget,rare_contact_mechanism,mobile_place_policy,3,84,0.369048,0.314511,0.307777,0.182442,0.103926,0.134827,0.115348
random_selection,clean_budget,rare_contact_mechanism,mobile_place_policy,4,84,0.392857,0.315279,0.308365,0.182142,0.103836,0.126961,0.115738
random_selection,clean_budget,rare_contact_mechanism,mobile_place_policy,5,84,0.404762,0.316047,0.308953,0.182199,0.104006,0.127218,0.116127
random_selection,clean_budget,rare_contact_mechanism,mobile_place_policy,6,84,0.369048,0.316815,0.309541,0.175681,0.104734,0.127951,0.116517
random_selection,clean_budget,rare_contact_mechanism,force_limited_twist_policy,0,84,0.380952,0.335359,0.311077,0.179943,0.107577,0.132352,0.116185
random_selection,clean_budget,rare_contact_mechanism,force_limited_twist_policy,1,84,0.345238,0.336183,0.311707,0.181460,0.108817,0.133113,0.116603
random_selection,clean_budget,rare_contact_mechanism,force_limited_twist_policy,2,84,0.333333,0.337008,0.312337,0.182262,0.109537,0.133636,0.117021
random_selection,clean_budget,rare_contact_mechanism,force_limited_twist_policy,3,84,0.321429,0.337832,0.312967,0.183064,0.110257,0.134159,0.117439
random_selection,clean_budget,rare_contact_mechanism,force_limited_twist_policy,4,84,0.309524,0.322647,0.301591,0.183086,0.110510,0.134682,0.117665
random_selection,clean_budget,rare_contact_mechanism,force_limited_twist_policy,5,84,0.333333,0.323471,0.302221,0.182816,0.110452,0.134848,0.118084
random_selection,clean_budget,rare_contact_mechanism,force_limited_twist_policy,6,84,0.464286,0.324296,0.302851,0.179333,0.108058,0.133943,0.118502
random_selection,clean_budget,intervention_gap,contact_grasp_policy,0,84,0.345238,0.325322,0.310946,0.183710,0.107225,0.134187,0.112931
random_selection,clean_budget,intervention_gap,contact_grasp_policy,1,84,0.452381,0.326050,0.311504,0.180888,0.105296,0.133471,0.113300
random_selection,clean_budget,intervention_gap,contact_grasp_policy,2,84,0.476190,0.326778,0.312062,0.180566,0.105184,0.133589,0.113669
random_selection,clean_budget,intervention_gap,contact_grasp_policy,3,84,0.416667,0.327506,0.312620,0.182744,0.106889,0.134541,0.114038
random_selection,clean_budget,intervention_gap,contact_grasp_policy,4,84,0.345238,0.328234,0.313178,0.185279,0.108853,0.135611,0.114407
random_selection,clean_budget,intervention_gap,contact_grasp_policy,5,84,0.369048,0.328962,0.313736,0.184957,0.108741,0.135729,0.114776
random_selection,clean_budget,intervention_gap,contact_grasp_policy,6,84,0.380952,0.329690,0.314294,0.184993,0.108889,0.127962,0.115145
random_selection,clean_budget,intervention_gap,peg_search_policy,0,84,0.464286,0.299650,0.306326,0.182247,0.104259,0.127400,0.113893
random_selection,clean_budget,intervention_gap,peg_search_policy,1,84,0.404762,0.300354,0.306866,0.176407,0.105470,0.128340,0.114250
random_selection,clean_budget,intervention_gap,peg_search_policy,2,84,0.392857,0.301058,0.307406,0.177144,0.106123,0.128803,0.114607
random_selection,clean_budget,intervention_gap,peg_search_policy,3,84,0.369048,0.301762,0.307946,0.178237,0.107035,0.129385,0.114963
random_selection,clean_budget,intervention_gap,peg_search_policy,4,84,0.404762,0.302466,0.308486,0.177545,0.106650,0.129372,0.115320
random_selection,clean_budget,intervention_gap,peg_search_policy,5,84,0.392857,0.303170,0.309026,0.178281,0.107304,0.129835,0.115676
random_selection,clean_budget,intervention_gap,peg_search_policy,6,84,0.428571,0.303874,0.309566,0.177589,0.106919,0.129821,0.116033
random_selection,clean_budget,intervention_gap,deformable_pull_policy,0,84,0.357143,0.337274,0.314774,0.183002,0.108054,0.133468,0.113180
random_selection,clean_budget,intervention_gap,deformable_pull_policy,1,84,0.428571,0.338018,0.315344,0.181260,0.106913,0.133117,0.113558
random_selection,clean_budget,intervention_gap,deformable_pull_policy,2,84,0.428571,0.338762,0.315914,0.181661,0.107329,0.133481,0.113935
random_selection,clean_budget,intervention_gap,deformable_pull_policy,3,84,0.321429,0.339506,0.316484,0.185277,0.110081,0.134917,0.114312
random_selection,clean_budget,intervention_gap,deformable_pull_policy,4,84,0.392857,0.340250,0.317054,0.183535,0.108940,0.134567,0.114689
random_selection,clean_budget,intervention_gap,deformable_pull_policy,5,84,0.285714,0.324986,0.317624,0.187150,0.111692,0.136002,0.115066
random_selection,clean_budget,intervention_gap,deformable_pull_policy,6,84,0.440476,0.325730,0.306188,0.182128,0.108267,0.134818,0.115251
random_selection,clean_budget,intervention_gap,mobile_place_policy,0,84,0.273810,0.315962,0.308246,0.186118,0.108023,0.135341,0.120772
random_selection,clean_budget,intervention_gap,mobile_place_policy,1,84,0.309524,0.316682,0.308798,0.185434,0.107648,0.135336,0.113133
random_selection,clean_budget,intervention_gap,mobile_place_policy,2,84,0.476190,0.317402,0.309350,0.180822,0.104417,0.134021,0.113498
random_selection,clean_budget,intervention_gap,mobile_place_policy,3,84,0.404762,0.318122,0.309902,0.183353,0.106377,0.135088,0.113862
random_selection,clean_budget,intervention_gap,mobile_place_policy,4,84,0.452381,0.318842,0.310454,0.182312,0.105741,0.134963,0.114227
random_selection,clean_budget,intervention_gap,mobile_place_policy,5,84,0.345238,0.319562,0.311006,0.185914,0.108479,0.128383,0.114592
random_selection,clean_budget,intervention_gap,mobile_place_policy,6,84,0.476190,0.320282,0.311558,0.182374,0.106027,0.127425,0.114957
