method,metric,mean,ci95,groups
influence_function_selector,spurious_dependence_rate,0.28856499,0.00061411,6400
influence_function_selector,tail_failure_rate,0.12405795,0.00022876,6400
influence_function_selector,damage_rate,0.07796631,0.00012992,6400
influence_function_selector,selection_cost,0.21337081,0.00016197,6400
influence_function_selector,regret,0.20964997,0.00033235,6400
interventional_mechanism_value_selector_v5,success_rate,0.73711589,0.00149248,6400
interventional_mechanism_value_selector_v5,utility,0.69871695,0.00185275,6400
interventional_mechanism_value_selector_v5,causal_mechanism_recall,0.74472223,0.00026257,6400
interventional_mechanism_value_selector_v5,spurious_dependence_rate,0.11039930,0.00038704,6400
interventional_mechanism_value_selector_v5,tail_failure_rate,0.06925419,0.00019281,6400
interventional_mechanism_value_selector_v5,damage_rate,0.04245529,0.00010813,6400
interventional_mechanism_value_selector_v5,selection_cost,0.17007832,0.00016341,6400
interventional_mechanism_value_selector_v5,regret,0.10089001,0.00021500,6400
invariant_risk_selector,success_rate,0.60475423,0.00213060,6400
invariant_risk_selector,utility,0.40167721,0.00265746,6400
invariant_risk_selector,causal_mechanism_recall,0.59975878,0.00026329,6400
invariant_risk_selector,spurious_dependence_rate,0.23604664,0.00055022,6400
invariant_risk_selector,tail_failure_rate,0.10798137,0.00021781,6400
invariant_risk_selector,damage_rate,0.06843820,0.00012396,6400
invariant_risk_selector,selection_cost,0.20370439,0.00016177,6400
invariant_risk_selector,regret,0.18658373,0.00030023,6400
label_balanced_selector,success_rate,0.43396647,0.00322812,6400
label_balanced_selector,utility,-0.00540277,0.00386556,6400
label_balanced_selector,causal_mechanism_recall,0.40776720,0.00026290,6400
label_balanced_selector,spurious_dependence_rate,0.45627384,0.00083855,6400
label_balanced_selector,tail_failure_rate,0.16746845,0.00026016,6400
label_balanced_selector,damage_rate,0.10403175,0.00015060,6400
label_balanced_selector,selection_cost,0.20076169,0.00016172,6400
label_balanced_selector,regret,0.29718868,0.00044743,6400
offline_rl_value_selector,success_rate,0.61608073,0.00218501,6400
offline_rl_value_selector,utility,0.41526160,0.00273121,6400
offline_rl_value_selector,causal_mechanism_recall,0.61372038,0.00026280,6400
offline_rl_value_selector,spurious_dependence_rate,0.24687483,0.00057375,6400
offline_rl_value_selector,tail_failure_rate,0.10809519,0.00022158,6400
offline_rl_value_selector,damage_rate,0.06838418,0.00012635,6400
offline_rl_value_selector,selection_cost,0.19422892,0.00016085,6400
offline_rl_value_selector,regret,0.17513077,0.00030960,6400
oracle_interventional_selector,success_rate,0.82434408,0.00121298,6400
oracle_interventional_selector,utility,0.88658766,0.00147975,6400
oracle_interventional_selector,causal_mechanism_recall,0.85168840,0.00026076,6400
oracle_interventional_selector,spurious_dependence_rate,0.05172202,0.00031470,6400
oracle_interventional_selector,tail_failure_rate,0.04543022,0.00018164,6400
oracle_interventional_selector,damage_rate,0.02639224,0.00009950,6400
oracle_interventional_selector,selection_cost,0.14167128,0.00016357,6400
oracle_interventional_selector,regret,0.04206494,0.00017579,6400
proposed_causal_mechanism_selector_v4,success_rate,0.67331868,0.00187309,6400
proposed_causal_mechanism_selector_v4,utility,0.54573425,0.00233446,6400
proposed_causal_mechanism_selector_v4,causal_mechanism_recall,0.66464423,0.00026292,6400
proposed_causal_mechanism_selector_v4,spurious_dependence_rate,0.17531744,0.00047831,6400
proposed_causal_mechanism_selector_v4,tail_failure_rate,0.09165845,0.00020774,6400
proposed_causal_mechanism_selector_v4,damage_rate,0.05813418,0.00011732,6400
proposed_causal_mechanism_selector_v4,selection_cost,0.19124815,0.00016318,6400
proposed_causal_mechanism_selector_v4,regret,0.14008086,0.00026471,6400
random_uniform_selector,success_rate,0.37616862,0.00315002,6400
random_uniform_selector,utility,-0.09319616,0.00348913,6400
random_uniform_selector,causal_mechanism_recall,0.31977161,0.00026303,6400
random_uniform_selector,spurious_dependence_rate,0.44300712,0.00080401,6400
random_uniform_selector,tail_failure_rate,0.18170702,0.00025670,6400
random_uniform_selector,damage_rate,0.11268389,0.00014854,6400
random_uniform_selector,selection_cost,0.17967296,0.00016212,6400
random_uniform_selector,regret,0.33292347,0.00043637,6400
tail_risk_reweighting_selector,success_rate,0.61052572,0.00209933,6400
tail_risk_reweighting_selector,utility,0.42896433,0.00261487,6400
tail_risk_reweighting_selector,causal_mechanism_recall,0.60777187,0.00026149,6400
tail_risk_reweighting_selector,spurious_dependence_rate,0.22547014,0.00053921,6400
tail_risk_reweighting_selector,tail_failure_rate,0.09340861,0.00021669,6400
tail_risk_reweighting_selector,damage_rate,0.06021105,0.00012277,6400
tail_risk_reweighting_selector,selection_cost,0.21863399,0.00016306,6400
tail_risk_reweighting_selector,regret,0.18017582,0.00029594,6400
uncertainty_active_selector,success_rate,0.55086263,0.00246948,6400
uncertainty_active_selector,utility,0.26312385,0.00307224,6400
uncertainty_active_selector,causal_mechanism_recall,0.54473300,0.00026175,6400
uncertainty_active_selector,spurious_dependence_rate,0.30640487,0.00064162,6400
uncertainty_active_selector,tail_failure_rate,0.13029388,0.00023151,6400
uncertainty_active_selector,damage_rate,0.08197387,0.00013147,6400
uncertainty_active_selector,selection_cost,0.23166764,0.00016222,6400
uncertainty_active_selector,regret,0.22269673,0.00034378,6400
