ablation,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_causal_mechanism_recall,ci95_causal_mechanism_recall,mean_spurious_dependence_rate,ci95_spurious_dependence_rate,mean_tail_failure_rate,ci95_tail_failure_rate,mean_damage_rate,ci95_damage_rate,mean_selection_cost,ci95_selection_cost,mean_regret,ci95_regret,groups,episodes_per_cell
minus_interventional_contrast,1,0.65143229,0.01210018,0.55191023,0.01457679,0.67995414,0.00232964,0.15222315,0.00263825,0.08768714,0.00145009,0.05289708,0.00079008,0.16974694,0.00080113,0.12624785,0.00169859,80,96
minus_interventional_contrast,2,0.64583333,0.01410399,0.54625093,0.01681522,0.67947429,0.00222037,0.15227408,0.00266629,0.08757485,0.00156179,0.05271784,0.00080088,0.16976489,0.00080061,0.12684185,0.00202366,80,96
minus_interventional_contrast,3,0.64114583,0.01274762,0.54142689,0.01516505,0.67951970,0.00224766,0.15202485,0.00272240,0.08752385,0.00141028,0.05272057,0.00085266,0.16968279,0.00080576,0.12779589,0.00186106,80,96
minus_interventional_contrast,4,0.65169271,0.01255968,0.55229230,0.01499384,0.67921494,0.00219108,0.15222585,0.00266410,0.08713298,0.00138048,0.05283699,0.00084755,0.16970074,0.00082089,0.12681061,0.00182016,80,96
minus_interventional_contrast,5,0.64023438,0.01161060,0.53984700,0.01415709,0.67961053,0.00211461,0.15197663,0.00271956,0.08778536,0.00140448,0.05330395,0.00083340,0.16991879,0.00090280,0.12798002,0.00164649,80,96
minus_interventional_contrast,6,0.65039062,0.01388172,0.55072850,0.01663026,0.67983103,0.00214441,0.15187748,0.00264357,0.08779501,0.00146105,0.05294578,0.00079681,0.17003679,0.00091787,0.12678101,0.00196610,80,96
minus_interventional_contrast,7,0.64700521,0.01090795,0.54688774,0.01273984,0.67935118,0.00214366,0.15192840,0.00259478,0.08801650,0.00135551,0.05294682,0.00069444,0.17015479,0.00095616,0.12737953,0.00154356,80,96
minus_interventional_contrast,8,0.63841146,0.01383102,0.53769355,0.01669731,0.67957168,0.00212111,0.15212940,0.00264056,0.08819986,0.00150796,0.05334218,0.00083922,0.16977254,0.00087377,0.12807926,0.00192508,80,96
minus_interventional_contrast,9,0.63906250,0.01125967,0.53902074,0.01330400,0.67961709,0.00206425,0.15127988,0.00244267,0.08816599,0.00140120,0.05303894,0.00071740,0.16969044,0.00082200,0.12786643,0.00174534,80,96
minus_mechanism_coverage,0,0.65416667,0.01244656,0.56528749,0.01495291,0.68774928,0.00217128,0.14599511,0.00253922,0.08354325,0.00146129,0.05031552,0.00086244,0.16769184,0.00084858,0.12319009,0.00182256,80,96
minus_mechanism_coverage,1,0.65052083,0.01316505,0.56147200,0.01515694,0.68793478,0.00214347,0.14661634,0.00249174,0.08337403,0.00133934,0.05018803,0.00075011,0.16758974,0.00087019,0.12414566,0.00185731,80,96
minus_mechanism_coverage,2,0.65664062,0.01215185,0.56804845,0.01397920,0.68794519,0.00214997,0.14663726,0.00252070,0.08338928,0.00136725,0.05008511,0.00071870,0.16738759,0.00085920,0.12279485,0.00160714,80,96
minus_mechanism_coverage,3,0.65403646,0.01133902,0.56499624,0.01338536,0.68830578,0.00207468,0.14650811,0.00252860,0.08366055,0.00139256,0.05045204,0.00074162,0.16718544,0.00090379,0.12336095,0.00158793,80,96
minus_mechanism_coverage,4,0.64960938,0.01472286,0.55994935,0.01738206,0.68831619,0.00215952,0.14637896,0.00250845,0.08358630,0.00156419,0.05093110,0.00080728,0.16728344,0.00084767,0.12438921,0.00198295,80,96
minus_mechanism_coverage,5,0.65416667,0.01485734,0.56475415,0.01741072,0.68797643,0.00227527,0.14654996,0.00255023,0.08345403,0.00155144,0.05075011,0.00082825,0.16728139,0.00086001,0.12386312,0.00201233,80,96
minus_mechanism_coverage,6,0.65572917,0.01215433,0.56631546,0.01425372,0.68728649,0.00223491,0.14672096,0.00256429,0.08351165,0.00133098,0.05043432,0.00076995,0.16757949,0.00088517,0.12359675,0.00170757,80,96
minus_mechanism_coverage,7,0.65572917,0.01151910,0.56601978,0.01363499,0.68677164,0.00197885,0.14704204,0.00262518,0.08342175,0.00142599,0.05054070,0.00078032,0.16757744,0.00090450,0.12363383,0.00164205,80,96
minus_mechanism_coverage,8,0.64075521,0.01249202,0.55014732,0.01462083,0.68713223,0.00196771,0.14706296,0.00263635,0.08376967,0.00149258,0.05093749,0.00076805,0.16747534,0.00087003,0.12532047,0.00168444,80,96
minus_mechanism_coverage,9,0.65625000,0.01117677,0.56706508,0.01340111,0.68784299,0.00200352,0.14663366,0.00263951,0.08318641,0.00152093,0.05052176,0.00080536,0.16757334,0.00082215,0.12376098,0.00155745,80,96
minus_spurious_penalty,0,0.61822917,0.01206282,0.50186502,0.01447858,0.72030340,0.00209533,0.19905940,0.00311036,0.09282451,0.00143316,0.05559388,0.00079865,0.16733809,0.00089483,0.12712476,0.00167189,80,96
minus_spurious_penalty,1,0.61328125,0.01209708,0.49622830,0.01469581,0.71994964,0.00207249,0.19921840,0.00310862,0.09306899,0.00150324,0.05569842,0.00079755,0.16752814,0.00087326,0.12800204,0.00179336,80,96
minus_spurious_penalty,2,0.61354167,0.01728371,0.49681592,0.02038994,0.71994605,0.00198081,0.19907725,0.00313808,0.09264557,0.00159314,0.05566374,0.00089494,0.16761814,0.00084012,0.12818674,0.00244167,80,96
minus_spurious_penalty,3,0.61914062,0.01278865,0.50266760,0.01539593,0.72011755,0.00202506,0.19938632,0.00317004,0.09257934,0.00149685,0.05546245,0.00075071,0.16790824,0.00084607,0.12726526,0.00172545,80,96
minus_spurious_penalty,4,0.62747396,0.01334589,0.51128391,0.01617433,0.71958870,0.00200084,0.19939525,0.00323029,0.09221958,0.00158972,0.05548907,0.00083404,0.16819834,0.00086313,0.12613760,0.00199269,80,96
minus_spurious_penalty,5,0.61549479,0.01498022,0.49930198,0.01798391,0.71958511,0.00199981,0.19940417,0.00315865,0.09206900,0.00154403,0.05519352,0.00080574,0.16788814,0.00078913,0.12756405,0.00203599,80,96
minus_spurious_penalty,6,0.61640625,0.01459025,0.50020831,0.01755769,0.71958153,0.00204273,0.19941310,0.00308066,0.09203194,0.00150390,0.05537311,0.00083029,0.16817824,0.00075554,0.12695018,0.00196187,80,96
minus_spurious_penalty,7,0.61640625,0.01364659,0.50010361,0.01632232,0.71957794,0.00213104,0.19852157,0.00307385,0.09218811,0.00147055,0.05576458,0.00082187,0.16816819,0.00079263,0.12729220,0.00189568,80,96
minus_spurious_penalty,8,0.61653646,0.01539667,0.50021248,0.01825983,0.71974944,0.00216984,0.19853050,0.00328441,0.09247465,0.00150966,0.05557744,0.00087293,0.16815814,0.00082671,0.12753487,0.00214095,80,96
minus_spurious_penalty,9,0.61796875,0.01298280,0.50167239,0.01552767,0.72009603,0.00215567,0.19853942,0.00328672,0.09262207,0.00145974,0.05565866,0.00085554,0.16774789,0.00083187,0.12735582,0.00185314,80,96
minus_tail_failure_value,0,0.66653646,0.01299153,0.55766955,0.01524243,0.72346579,0.00216393,0.14226742,0.00241206,0.11104555,0.00147601,0.06563121,0.00078872,0.16373669,0.00086965,0.11957851,0.00185841,80,96
minus_tail_failure_value,1,0.66575521,0.01203048,0.55686598,0.01445212,0.72330111,0.00228105,0.14228834,0.00254891,0.11106773,0.00151274,0.06545283,0.00077693,0.16373464,0.00087677,0.12006374,0.00179086,80,96
minus_tail_failure_value,2,0.66888021,0.01174474,0.55993967,0.01420173,0.72243609,0.00224101,0.14260942,0.00250009,0.11108418,0.00142690,0.06520919,0.00077337,0.16393269,0.00088318,0.11949609,0.00177331,80,96
minus_tail_failure_value,3,0.66536458,0.01010035,0.55623827,0.01154583,0.72244650,0.00203486,0.14278042,0.00258583,0.11089395,0.00132309,0.06537014,0.00073419,0.16403069,0.00088820,0.11979621,0.00152255,80,96
minus_tail_failure_value,4,0.66640625,0.01539616,0.55719722,0.01803961,0.72245691,0.00201870,0.14310149,0.00261864,0.11087285,0.00159687,0.06536185,0.00080843,0.16392859,0.00088082,0.11981647,0.00210547,80,96
minus_tail_failure_value,5,0.66080729,0.01440403,0.55130554,0.01725449,0.72299259,0.00200848,0.14282227,0.00264124,0.11092811,0.00160244,0.06566697,0.00084569,0.16402659,0.00084895,0.12046511,0.00195881,80,96
minus_tail_failure_value,6,0.66888021,0.01247987,0.55986844,0.01432867,0.72247774,0.00212059,0.14269312,0.00256808,0.11077901,0.00144792,0.06551634,0.00077333,0.16382444,0.00075888,0.11950963,0.00166800,80,96
minus_tail_failure_value,7,0.66145833,0.01397244,0.55221329,0.01600062,0.72266324,0.00209852,0.14241389,0.00252575,0.11088896,0.00140864,0.06555740,0.00082841,0.16392244,0.00077619,0.12064443,0.00200758,80,96
minus_tail_failure_value,8,0.66302083,0.01192534,0.55388267,0.01439335,0.72302383,0.00209941,0.14213467,0.00241834,0.11102952,0.00143911,0.06573874,0.00082533,0.16362024,0.00078925,0.12032075,0.00187592,80,96
minus_tail_failure_value,9,0.67929688,0.01469798,0.57194398,0.01726855,0.72355950,0.00211671,0.14185544,0.00241309,0.11062863,0.00150681,0.06472229,0.00080568,0.16391834,0.00079782,0.11819196,0.00202741,80,96
